Network warmed up!
C:\Users\matt\miniconda3\envs\trackmania\lib\site-packages\rtgym\envs\real_time_env.py:261: UserWarning: Time-step timed out. Elapsed since last time-step: 0.17814669999415855
  warnings.warn(f"Time-step timed out. Elapsed since last time-step: {now - self.__t_end}")
Episode 145 | Reward: 99.25 | Avg: 106.22 | Epsilon: 0.864 | Steps: 165
Episode 146 | Reward: 111.50 | Avg: 106.50 | Epsilon: 0.863 | Steps: 610
Episode 147 | Reward: 110.44 | Avg: 106.77 | Epsilon: 0.862 | Steps: 497
Episode 148 | Reward: 100.37 | Avg: 106.63 | Epsilon: 0.862 | Steps: 200
Episode 149 | Reward: 100.46 | Avg: 106.51 | Epsilon: 0.861 | Steps: 281
Episode 150 | Reward: 108.49 | Avg: 106.71 | Epsilon: 0.860 | Steps: 587
Episode 151 | Reward: 106.33 | Avg: 106.72 | Epsilon: 0.859 | Steps: 484
Episode 152 | Reward: 105.27 | Avg: 106.75 | Epsilon: 0.858 | Steps: 416
Episode 153 | Reward: 103.58 | Avg: 106.80 | Epsilon: 0.857 | Steps: 225
Episode 154 | Reward: 104.68 | Avg: 106.84 | Epsilon: 0.856 | Steps: 414
Episode 155 | Reward: 110.50 | Avg: 106.86 | Epsilon: 0.855 | Steps: 781
Episode 156 | Reward: 100.49 | Avg: 106.53 | Epsilon: 0.855 | Steps: 316
Episode 157 | Reward: 125.23 | Avg: 107.12 | Epsilon: 0.854 | Steps: 1656
Episode 158 | Reward: 107.27 | Avg: 107.09 | Epsilon: 0.853 | Steps: 344
Episode 159 | Reward: 114.54 | Avg: 107.39 | Epsilon: 0.852 | Steps: 594
Episode 160 | Reward: 96.77 | Avg: 106.82 | Epsilon: 0.851 | Steps: 216
Episode 161 | Reward: 107.92 | Avg: 106.95 | Epsilon: 0.850 | Steps: 417
Episode 162 | Reward: 100.90 | Avg: 106.47 | Epsilon: 0.850 | Steps: 329
Episode 163 | Reward: 106.18 | Avg: 106.39 | Epsilon: 0.849 | Steps: 527
Episode 164 | Reward: 103.68 | Avg: 106.46 | Epsilon: 0.848 | Steps: 275
Episode 165 | Reward: 96.12 | Avg: 106.33 | Epsilon: 0.847 | Steps: 85
Episode 166 | Reward: 97.66 | Avg: 106.07 | Epsilon: 0.846 | Steps: 144
Episode 167 | Reward: 118.18 | Avg: 106.19 | Epsilon: 0.845 | Steps: 702
Episode 168 | Reward: 96.15 | Avg: 105.95 | Epsilon: 0.844 | Steps: 122
Episode 169 | Reward: 110.40 | Avg: 105.85 | Epsilon: 0.844 | Steps: 660
Episode 170 | Reward: 107.18 | Avg: 105.77 | Epsilon: 0.843 | Steps: 488
Episode 171 | Reward: 97.53 | Avg: 105.66 | Epsilon: 0.842 | Steps: 160
Episode 172 | Reward: 104.87 | Avg: 105.50 | Epsilon: 0.841 | Steps: 414
Episode 173 | Reward: 103.28 | Avg: 105.58 | Epsilon: 0.840 | Steps: 291
Episode 174 | Reward: 107.58 | Avg: 105.66 | Epsilon: 0.839 | Steps: 555
Episode 175 | Reward: 100.37 | Avg: 105.57 | Epsilon: 0.839 | Steps: 332
Episode 176 | Reward: 100.92 | Avg: 105.36 | Epsilon: 0.838 | Steps: 203
Episode 177 | Reward: 102.24 | Avg: 105.21 | Epsilon: 0.837 | Steps: 292
Episode 178 | Reward: 101.10 | Avg: 105.31 | Epsilon: 0.836 | Steps: 335
Episode 179 | Reward: 108.25 | Avg: 105.56 | Epsilon: 0.835 | Steps: 493
Episode 180 | Reward: 104.27 | Avg: 105.55 | Epsilon: 0.834 | Steps: 285
Episode 181 | Reward: 103.32 | Avg: 105.41 | Epsilon: 0.834 | Steps: 152
Episode 182 | Reward: 103.27 | Avg: 105.52 | Epsilon: 0.833 | Steps: 384
Episode 183 | Reward: 107.63 | Avg: 105.58 | Epsilon: 0.832 | Steps: 284
Episode 184 | Reward: 98.21 | Avg: 105.04 | Epsilon: 0.831 | Steps: 97
Episode 185 | Reward: 100.84 | Avg: 104.98 | Epsilon: 0.830 | Steps: 193
Episode 186 | Reward: 110.49 | Avg: 104.94 | Epsilon: 0.829 | Steps: 603
Episode 187 | Reward: 110.13 | Avg: 105.17 | Epsilon: 0.829 | Steps: 316
